kernel32!CreateProcessW,00000000`0015c138,000007fe`fe21b981,kernel32!CreateProcessW,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!_SHCreateProcess+0x31d,00000000`0015c140,000007fe`fe21b6ef,SHELL32!_SHCreateProcess+0x31d,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CExecuteApplication::_CreateProcess+0x15f,00000000`0015c300,000007fe`fe21b58f,SHELL32!CExecuteApplication::_CreateProcess+0x15f,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CExecuteApplication::_TryCreateProcess+0x126,00000000`0015c3a0,000007fe`fe21b4ab,SHELL32!CExecuteApplication::_TryCreateProcess+0x126,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CExecuteApplication::_DoApplication+0x198,00000000`0015c400,000007fe`fe21a68e,SHELL32!CExecuteApplication::_DoApplication+0x198,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CExecuteApplication::Execute+0x3e,00000000`0015c460,000007fe`fe2325b8,SHELL32!CExecuteApplication::Execute+0x3e,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CExecuteAssociation::_DoCommand+0xb0,00000000`0015c490,000007fe`fe232463,SHELL32!CExecuteAssociation::_DoCommand+0xb0,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CExecuteAssociation::Execute+0xbf,00000000`0015c4e0,000007fe`fe23385c,SHELL32!CExecuteAssociation::Execute+0xbf,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CRegDataDrivenCommand::_Invoke+0x10d,00000000`0015c540,000007fe`fe233a77,SHELL32!CRegDataDrivenCommand::_Invoke+0x10d,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CRegistryVerbsContextMenu::_Execute+0x77,00000000`0015c5d0,000007fe`fe2339a3,SHELL32!CRegistryVerbsContextMenu::_Execute+0x77,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CRegistryVerbsContextMenu::InvokeCommand+0x102,00000000`0015c630,000007fe`fe2336ee,SHELL32!CRegistryVerbsContextMenu::InvokeCommand+0x102,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!HDXA_LetHandlerProcessCommandEx+0x144,00000000`0015c920,000007fe`fe23356e,SHELL32!HDXA_LetHandlerProcessCommandEx+0x144,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CDefFolderMenu::InvokeCommand+0x254,00000000`0015ca30,000007fe`fe603b20,SHELL32!CDefFolderMenu::InvokeCommand+0x254,,,,,,,,,,,,,,,,,,,,,,,,,,
